,timestamp,GPU 0
2308,1761702648.7910542,807.228
2309,1761702663.7912602,805.272
2310,1761702678.7913623,191.553
2311,1761702693.7913065,188.814
2312,1761702708.790969,761.354
2313,1761702723.7911975,772.54
2314,1761702738.791166,757.095
2315,1761702753.7911093,738.292
2316,1761702768.7908633,751.324
2317,1761702783.7911417,762.014
2318,1761702798.7916818,739.19
2319,1761702813.790877,761.107
2320,1761702828.790942,780.945
2321,1761702843.791078,741.611
2322,1761702858.7915301,746.729
2323,1761702873.791564,760.705
2324,1761702888.7918525,768.086
2325,1761702903.7907386,725.61
2326,1761702918.7908208,753.763
2327,1761702933.7910225,782.846
2328,1761702948.791096,750.669
2329,1761702963.7907991,756.169
2330,1761702978.790586,770.312
2331,1761702993.7905102,763.98
2332,1761703008.7919536,739.334
2333,1761703023.791175,760.58
2334,1761703038.790686,779.178
2335,1761703053.7909036,748.179
2336,1761703068.7909622,761.151
2337,1761703083.7907772,749.607
2338,1761703098.7915497,766.654
2339,1761703113.7905147,745.2
2340,1761703128.7907853,766.25
2341,1761703143.7905424,778.561
2342,1761703158.7911723,740.018
2343,1761703173.7906134,750.906
2344,1761703188.7906961,765.05
2345,1761703203.7908072,770.697
2346,1761703218.7912369,723.685
2347,1761703233.7908924,765.95
2348,1761703248.7915375,783.609
2349,1761703263.7913113,754.269
2350,1761703278.7905858,752.758
2351,1761703293.7907217,757.78
2352,1761703308.790583,193.914
2353,1761703323.7910979,189.357
2354,1761703338.79126,787.88
2355,1761703353.790605,808.682
2356,1761703368.7904587,787.036
2357,1761703383.791748,797.998
2358,1761703398.790898,189.568
2359,1761703413.7906446,188.234
2360,1761703428.7905834,770.505
2361,1761703443.7909276,737.095
2362,1761703458.7903998,763.018
2363,1761703473.790676,763.956
2364,1761703488.7917688,758.456
2365,1761703503.7912369,734.524
2366,1761703518.791073,772.222
2367,1761703533.7913504,784.12
2368,1761703548.7907648,730.284
2369,1761703563.791546,764.862
2370,1761703578.790882,779.575
2371,1761703593.7916975,744.994
2372,1761703608.7909348,749.109
2373,1761703623.7907653,759.215
2374,1761703638.791143,769.016
2375,1761703653.7910967,733.539
2376,1761703668.7903545,756.604
2377,1761703683.791562,790.878
2378,1761703698.7908456,733.452
2379,1761703713.7905107,766.426
2380,1761703728.790539,765.666
2381,1761703743.7908723,760.99
2382,1761703758.7905726,729.259
2383,1761703773.7907622,768.108
2384,1761703788.79123,778.773
2385,1761703803.7912235,743.527
2386,1761703818.7907114,762.245
2387,1761703833.7913718,774.247
2388,1761703848.791412,760.491
2389,1761703863.7915506,742.424
2390,1761703878.7909417,761.624
2391,1761703893.7908406,777.459
2392,1761703908.7911022,727.841
2393,1761703923.7909503,765.827
2394,1761703938.7910106,779.61
2395,1761703953.791039,744.05
2396,1761703968.7906263,749.632
2397,1761703983.7914925,764.639
2398,1761703998.791032,784.952
2399,1761704013.791106,728.25
2400,1761704028.7909665,190.543
2401,1761704043.7916849,188.697
2402,1761704058.7907434,799.492
2403,1761704073.7908533,819.442
2404,1761704088.7909095,798.241
2405,1761704103.7915328,191.743
2406,1761704118.7910678,188.768
2407,1761704133.7913647,772.041
2408,1761704148.790947,737.713
2409,1761704163.790844,755.43
2410,1761704178.790943,755.531
2411,1761704193.7907734,748.934
2412,1761704208.7909927,742.345
2413,1761704223.7913983,767.885
2414,1761704238.790801,783.843
2415,1761704253.7909794,746.597
2416,1761704268.7906773,755.52
2417,1761704283.7912686,760.388
2418,1761704298.7907972,747.878
2419,1761704313.790513,743.347
2420,1761704328.7906957,764.13
2421,1761704343.7907748,782.537
2422,1761704358.790787,715.122
2423,1761704373.790847,758.782
2424,1761704388.7907906,769.313
2425,1761704403.7910879,758.084
2426,1761704418.7907908,741.481
2427,1761704433.7911108,763.2
2428,1761704448.791472,772.678
2429,1761704463.7904932,737.014
2430,1761704478.7914224,756.712
2431,1761704493.7906878,780.609
2432,1761704508.7912476,749.03
2433,1761704523.7907455,744.449
2434,1761704538.7909777,760.175
2435,1761704553.7913888,764.072
2436,1761704568.7914112,727.896
2437,1761704583.790869,764.165
2438,1761704598.7909625,780.004
2439,1761704613.7909539,736.927
2440,1761704628.7906446,758.508
2441,1761704643.7910807,761.637
2442,1761704658.7910392,758.186
2443,1761704673.7906058,742.576
2444,1761704688.7913888,764.868
2445,1761704703.7912648,782.424
2446,1761704718.7909281,744.046
2447,1761704733.791123,509.769
2448,1761704748.7911274,189.475
2449,1761704763.7909756,793.371
2450,1761704778.791487,810.023
2451,1761704793.7907784,791.781
2452,1761704808.7911654,810.88
2453,1761704823.7914293,189.739
2454,1761704838.7912312,188.356
2455,1761704853.7912745,759.051
2456,1761704868.7908576,763.429
2457,1761704883.7903042,729.455
2458,1761704898.7915716,767.832
2459,1761704913.791551,783.148
2460,1761704928.7905045,760.646
2461,1761704943.7908351,742.006
2462,1761704958.7907772,771.741
2463,1761704973.7908835,770.18
2464,1761704988.790734,718.954
2465,1761705003.7909613,764.778
2466,1761705018.7908823,773.878
2467,1761705033.7908475,746.788
2468,1761705048.7904978,745.513
2469,1761705063.7905586,759.311
2470,1761705078.7907333,767.329
2471,1761705093.7911174,720.651
2472,1761705108.7909427,761.855
2473,1761705123.7906709,774.452
2474,1761705138.7909296,760.56
2475,1761705153.7915642,747.01
2476,1761705168.791324,768.543
2477,1761705183.7918212,784.027
2478,1761705198.7912948,754.963
2479,1761705213.7915545,763.514
2480,1761705228.7907584,772.904
2481,1761705243.7908533,765.144
2482,1761705258.7913768,728.834
2483,1761705273.7909427,751.771
2484,1761705288.7912316,779.075
2485,1761705303.7918553,752.592
2486,1761705318.7911499,748.114
2487,1761705333.7906914,764.437
2488,1761705348.7906294,776.593
2489,1761705363.7910879,737.734
2490,1761705378.7911985,760.775
2491,1761705393.7907689,782.852
2492,1761705408.7912061,751.591
2493,1761705423.7911057,754.772
2494,1761705438.7917123,762.948
2495,1761705453.790984,191.562
2496,1761705468.7909634,189.028
2497,1761705483.79158,793.033
2498,1761705498.7910464,786.755
2499,1761705513.790999,816.71
2500,1761705528.7905962,791.918
2501,1761705543.7913525,189.485
2502,1761705558.7911866,188.135
2503,1761705573.7916598,736.196
2504,1761705588.7912924,731.695
2505,1761705603.7909758,754.102
2506,1761705618.7910402,775.946
2507,1761705633.7913353,723.993
2508,1761705648.7914398,760.105
2509,1761705663.7909598,777.917
2510,1761705678.7907774,751.976
2511,1761705693.790677,757.695
2512,1761705708.7913826,757.891
2513,1761705723.7913518,775.789
2514,1761705738.7912924,732.508
2515,1761705753.790874,759.139
2516,1761705768.7912176,701.993
2517,1761705783.791102,763.957
2518,1761705798.7906528,736.525
2519,1761705813.7909913,759.736
2520,1761705828.791269,785.043
2521,1761705843.7907455,749.826
2522,1761705858.791422,763.38
2523,1761705873.790475,768.465
2524,1761705888.790821,766.127
2525,1761705903.7917094,730.79
2526,1761705918.7912495,762.966
2527,1761705933.7916217,781.502
2528,1761705948.790784,745.252
2529,1761705963.7907987,759.234
2530,1761705978.7915206,766.288
2531,1761705993.791406,758.385
2532,1761706008.791283,744.174
2533,1761706023.7906482,755.367
2534,1761706038.7912118,780.731
2535,1761706053.7906804,730.685
2536,1761706068.7909424,763.033
2537,1761706083.7905085,773.563
2538,1761706098.7914157,754.879
2539,1761706113.7906203,750.218
2540,1761706128.7915497,757.423
2541,1761706143.7910674,780.13
2542,1761706158.7910602,726.297
2543,1761706173.7905047,190.893
2544,1761706188.790925,188.886
2545,1761706203.792158,803.616
2546,1761706218.7906997,808.136
2547,1761706233.7909267,810.615
2548,1761706248.790934,193.288
2549,1761706263.7912092,188.978
2550,1761706278.7907023,765.699
2551,1761706293.791174,717.784
2552,1761706308.7911248,757.225
2553,1761706323.7914767,776.867
2554,1761706338.791137,738.675
2555,1761706353.7915103,750.77
2556,1761706368.7909946,765.368
2557,1761706383.7910101,773.483
2558,1761706398.7911284,732.945
2559,1761706413.7910385,764.33
2560,1761706428.7904537,773.442
2561,1761706443.7915733,757.888
2562,1761706458.791438,753.712
2563,1761706473.7906284,754.34
2564,1761706488.7908452,770.872
2565,1761706503.7917511,720.334
2566,1761706518.7910886,769.599
2567,1761706533.7909057,774.352
2568,1761706548.791096,751.754
2569,1761706563.790974,753.729
2570,1761706578.7905836,765.394
2571,1761706593.7916546,769.268
2572,1761706608.7908213,738.41
2573,1761706623.7913208,762.434
2574,1761706638.7906506,773.454
2575,1761706653.7912073,742.314
2576,1761706668.790848,745.123
2577,1761706683.7911184,755.986
2578,1761706698.7907298,766.645
2579,1761706713.7914417,728.202
2580,1761706728.791222,759.81
2581,1761706743.790697,765.116
2582,1761706758.7907624,740.073
2583,1761706773.791048,755.243
2584,1761706788.7906091,761.827
2585,1761706803.7915328,770.028
2586,1761706818.7912147,729.61
2587,1761706833.7912755,756.611
2588,1761706848.7912447,780.701
2589,1761706863.7910793,742.253
2590,1761706878.7913225,750.485
2591,1761706893.795122,189.849
2592,1761706908.7909782,796.154
2593,1761706923.7914252,807.976
2594,1761706938.790852,807.949
2595,1761706953.7910564,796.825
2596,1761706968.7914157,190.672
2597,1761706983.7906804,188.642
2598,1761706998.790615,756.902
2599,1761707013.7908988,734.362
2600,1761707028.7909877,764.468
2601,1761707043.7911308,770.657
2602,1761707058.7908473,730.335
2603,1761707073.7906342,765.209
2604,1761707088.7906263,774.945
2605,1761707103.7918496,752.319
2606,1761707118.791124,755.356
2607,1761707133.7905831,766.459
2608,1761707148.7906125,769.147
2609,1761707163.7912853,724.122
2610,1761707178.7907834,759.807
2611,1761707193.790973,778.178
2612,1761707208.7908864,748.921
2613,1761707223.790741,752.241
2614,1761707238.7913442,761.46
2615,1761707253.790684,763.215
2616,1761707268.7905223,747.018
2617,1761707283.7909667,773.603
2618,1761707298.791207,788.402
2619,1761707313.7904792,729.503
2620,1761707328.790936,764.521
2621,1761707343.7915432,772.593
2622,1761707358.790594,753.181
2623,1761707373.7907655,739.064
2624,1761707388.7906752,756.436
2625,1761707403.7907314,768.524
2626,1761707418.7911053,725.04
2627,1761707433.7907166,765.979
2628,1761707448.7914116,773.833
2629,1761707463.7909877,772.736
2630,1761707478.790835,736.619
2631,1761707493.791016,760.43
2632,1761707508.7914133,778.08
2633,1761707523.7907348,751.784
2634,1761707538.790588,759.469
2635,1761707553.7913141,763.235
2636,1761707568.791008,765.828
2637,1761707583.7911563,745.141
2638,1761707598.7914174,191.828
2639,1761707613.7910938,191.584
2640,1761707628.791029,801.357
2641,1761707643.7909834,816.76
2642,1761707658.7912536,819.882
2643,1761707673.7912552,795.266
2644,1761707688.7908554,192.328
