,timestamp,GPU 0,GPU 1,GPU 2,GPU 3,GPU 4,GPU 5,GPU 6,GPU 7
11204,1720939696.18089,638.27,636.83,644.05,632.81,643.79,655.15,635.94,633.64
11205,1720939756.184078,628.63,633.55,637.41,630.82,638.52,647.88,640.67,632.82
11206,1720939816.202657,642.01,638.18,643.11,639.37,646.9,660.66,644.62,639.83
11207,1720939876.270898,636.33,642.73,643.87,632.53,644.17,659.03,640.09,635.29
11208,1720939906.272766,638.72,638.26,642.89,638.92,644.86,659.1,643.39,638.45
11209,1720939966.693013,628.13,634.97,638.52,639.13,644.19,659.09,646.37,646.5
11210,1720940027.18401,634.78,634.64,639.5,637.1,645.08,659.86,643.67,636.14
11211,1720940087.197215,630.71,636.46,647.24,633.11,646.43,657.03,639.86,636.13
11212,1720940147.202557,636.71,633.7,643.6,636.9,644.54,657.31,646.66,639.18
11213,1720940207.208508,644.43,639.6,643.81,638.23,651.44,661.21,645.01,644.5
11214,1720940267.212181,640.64,639.51,644.8,637.48,642.55,662.5,647.0,641.12
11215,1720940297.333277,645.91,644.81,648.01,648.28,657.56,667.46,653.15,650.72
11216,1720940357.432238,639.13,635.73,642.25,632.96,642.09,655.36,636.16,639.5
11217,1720940417.438273,634.75,639.55,640.89,637.81,642.69,663.46,646.1,639.34
11218,1720940477.475122,644.82,639.1,648.7,636.89,643.35,657.85,637.95,638.12
11219,1720940537.49493,637.97,636.05,635.96,636.03,648.12,661.11,643.9,630.49
11220,1720940567.971956,638.1,641.17,644.69,630.47,641.66,657.97,636.56,638.29
11221,1720940628.003386,639.57,636.03,642.14,639.42,648.8,661.55,642.69,642.85
11222,1720940688.507867,644.34,640.85,650.39,639.6,649.75,661.66,647.28,642.29
11223,1720940748.537551,634.62,638.87,639.03,630.07,638.4,656.9,633.95,631.1
11224,1720940808.549324,625.89,639.45,639.02,634.54,644.45,655.07,637.15,635.39
11225,1720940868.565117,631.4,634.63,638.25,632.0,640.4,657.52,640.07,634.73
11226,1720940898.566874,640.24,644.48,645.36,634.3,645.75,659.1,646.41,637.31
11227,1720940959.058091,639.07,638.12,646.48,631.97,640.93,658.91,637.61,637.11
11228,1720941019.068558,636.92,639.49,647.05,641.02,650.24,661.2,648.49,643.22
11229,1720941079.126054,630.59,639.4,642.27,633.69,643.98,659.52,641.81,640.39
11230,1720941139.134951,639.53,643.45,638.92,639.26,652.79,664.47,642.73,642.32
11231,1720941199.150186,636.85,635.23,642.32,633.26,644.59,658.79,636.34,639.06
11232,1720941229.156139,634.14,634.21,638.94,633.77,642.19,654.61,634.93,637.61
11233,1720941289.15852,330.41,336.88,331.73,329.37,336.07,350.71,335.39,333.76
11234,1720941319.160239,134.03,134.77,133.27,130.09,131.84,142.81,132.98,131.37
11235,1720941349.161984,190.17,190.84,188.31,187.81,189.48,201.96,186.87,188.27
11236,1720941409.26394,440.44,444.92,441.92,443.25,455.99,465.74,448.4,442.5
11237,1720941439.270267,639.48,643.66,641.8,641.39,640.84,661.12,648.53,644.8
11238,1720941499.365903,635.48,640.47,641.95,637.06,640.92,659.56,643.22,638.92
11239,1720941559.442491,639.78,640.79,649.16,643.62,646.66,660.38,649.19,638.95
11240,1720941619.445764,637.56,638.3,626.35,637.38,645.22,659.26,634.02,637.46
11241,1720941679.487116,639.57,641.86,644.79,633.18,640.57,660.77,638.5,645.8
11242,1720941739.505205,638.33,635.59,650.13,637.76,643.99,655.88,644.13,636.16
11243,1720941799.537099,646.88,635.28,646.02,643.74,643.99,661.08,646.48,644.22
11244,1720941829.54013,635.2,635.0,648.61,636.53,641.99,651.58,642.77,632.03
11245,1720941889.550422,639.49,639.43,641.54,634.95,640.85,653.53,636.12,633.32
11246,1720941949.953303,637.31,641.76,634.13,635.46,645.83,658.49,641.16,643.42
11247,1720942010.137291,632.61,636.88,643.85,641.61,651.73,662.24,648.93,641.93
11248,1720942070.14229,643.55,648.74,647.81,643.21,651.12,664.72,647.94,645.61
11249,1720942130.150514,636.57,637.12,648.21,639.81,641.04,662.23,646.11,642.08
11250,1720942160.154138,640.8,634.29,643.51,636.62,640.41,661.29,648.31,640.65
11251,1720942220.219374,634.8,637.08,646.01,634.32,645.14,658.13,641.92,634.26
11252,1720942280.27669,631.55,639.36,639.03,633.36,642.75,651.39,636.71,632.9
11253,1720942340.285106,633.62,633.32,635.78,635.57,648.55,658.84,647.14,641.19
11254,1720942400.303846,634.72,629.39,635.31,626.67,635.59,648.58,640.66,634.03
11255,1720942460.307035,627.17,634.75,638.81,635.23,642.74,659.22,641.45,635.8
11256,1720942520.657793,631.34,634.06,638.79,635.6,645.52,657.2,643.75,637.49
11257,1720942580.686004,639.44,632.51,644.22,640.28,648.25,660.78,639.34,642.95
