,timestamp,GPU 0,GPU 1,GPU 2,GPU 3,GPU 4,GPU 5,GPU 6,GPU 7
17749,1719488120.504729,584.25,577.25,580.82,578.79,580.42,583.3,577.97,577.64
17750,1719488150.506167,590.83,592.28,592.95,578.58,587.4,594.71,593.91,570.99
17751,1719488180.507631,606.17,578.77,592.9,589.07,598.95,586.63,591.82,589.72
17752,1719488210.509101,603.8,598.32,590.11,601.99,603.62,582.57,581.6,599.75
17753,1719488240.510605,585.75,583.73,564.93,590.71,579.08,568.13,568.23,593.11
17754,1719488270.512107,581.76,598.72,577.81,579.61,584.37,582.96,583.05,586.85
17755,1719488300.513574,604.64,589.99,585.22,600.66,584.95,581.92,590.62,603.46
17756,1719488330.515083,586.87,605.75,588.49,580.78,584.1,598.89,592.89,582.96
17757,1719488360.516624,360.78,374.37,363.17,363.07,356.0,361.64,363.62,357.45
17758,1719488390.518174,116.97,126.44,120.45,118.77,117.16,116.12,119.25,117.17
17759,1719488420.519665,515.27,524.12,521.95,504.99,503.93,528.62,505.68,497.84
17760,1719488450.521184,583.62,592.6,587.9,579.32,587.52,591.72,592.3,582.61
17761,1719488480.522815,596.64,586.48,597.91,580.44,591.98,588.43,599.29,576.96
17762,1719488510.524331,592.73,585.39,599.62,578.3,593.65,586.05,590.29,585.2
17763,1719488540.52587,585.78,586.37,570.71,583.54,577.8,567.99,571.0,585.13
17764,1719488570.52739,593.94,589.52,591.55,569.76,584.9,586.6,591.02,582.08
17765,1719488600.528896,578.24,585.56,591.31,564.55,578.87,585.5,591.13,560.72
17766,1719488630.530387,586.2,591.99,587.66,584.8,583.56,584.66,589.7,579.52
17767,1719488660.531849,582.08,570.45,566.36,580.36,577.45,558.89,563.65,577.11
17768,1719488690.533345,588.96,582.56,582.94,580.95,580.08,574.69,581.75,573.49
17769,1719488720.534953,595.22,586.75,592.08,575.54,577.31,583.52,587.78,576.24
17770,1719488750.536469,607.96,583.53,589.28,583.98,597.22,580.47,582.05,592.06
17771,1719488810.539247,594.39,590.4,592.6,577.52,589.95,591.25,596.22,576.53
