,timestamp,GPU 0,GPU 1,GPU 2,GPU 3,GPU 4,GPU 5,GPU 6,GPU 7
2205,1721090103.173103,540.72,539.54,531.03,530.7,539.07,542.84,536.4,539.0
2206,1721090133.174981,535.14,536.71,534.63,531.54,539.87,541.45,534.85,528.45
2207,1721090163.176846,533.68,531.01,523.33,521.57,530.11,535.44,530.8,528.47
2208,1721090193.178659,528.92,532.03,526.58,524.84,535.22,535.72,527.58,523.04
2209,1721090223.180477,528.98,527.21,530.36,517.18,531.82,535.4,527.82,526.33
2210,1721090253.182264,526.78,528.95,529.58,522.4,537.3,535.23,531.22,526.64
2211,1721090283.184035,543.47,539.57,537.51,535.54,545.75,547.05,541.75,540.22
2212,1721090313.185868,546.84,542.96,535.58,537.05,541.22,543.12,544.69,545.08
2213,1721090343.187781,544.87,546.31,541.01,533.12,549.76,550.57,542.19,539.05
2214,1721090373.189877,543.57,545.24,539.72,534.76,548.46,545.82,548.02,544.92
2215,1721090403.191702,547.78,537.26,541.88,537.4,545.27,543.41,544.67,546.16
2216,1721090433.193506,242.48,240.68,238.88,236.71,242.07,242.67,232.25,238.07
2217,1721090463.195314,171.48,172.72,168.35,167.97,170.89,176.1,167.49,164.78
2218,1721090523.198568,497.01,494.13,489.19,488.28,498.04,506.09,488.1,485.48
2219,1721090553.200344,528.57,524.84,525.92,521.06,534.38,526.63,528.22,531.74
2220,1721090583.202463,538.01,526.77,526.21,519.64,530.49,534.7,528.85,530.42
2221,1721090613.20425,532.8,536.31,529.81,525.99,538.12,537.91,531.91,528.6
2222,1721090643.20605,535.89,531.4,529.1,534.61,535.9,535.18,539.06,532.89
2223,1721090673.208467,544.1,537.48,541.71,528.15,549.27,543.1,544.59,546.18
2224,1721090703.210344,546.06,545.66,542.69,535.04,548.32,548.12,539.46,543.52
2225,1721090733.212056,542.93,537.47,538.72,535.47,545.29,540.99,543.74,544.86
2226,1721090763.213795,545.0,546.0,540.11,535.82,546.87,552.93,544.64,537.24
2227,1721090793.215586,537.93,537.8,534.76,527.35,539.82,544.94,535.93,541.22
2228,1721090823.21737,537.38,536.19,530.11,526.61,537.65,541.88,533.26,535.15
2229,1721090853.21914,535.22,530.15,532.03,527.31,539.31,532.63,536.76,532.4
2230,1721090883.22096,535.32,525.09,525.29,525.26,532.99,529.99,528.28,522.03
2231,1721090913.222857,533.9,531.1,523.25,521.82,529.37,533.94,528.94,529.87
2232,1721090943.224631,536.26,528.94,529.98,523.75,534.97,537.39,528.83,536.35
2233,1721090973.22642,537.55,534.8,529.93,523.0,534.78,536.08,533.42,533.46
2234,1721091003.228212,536.43,531.01,529.28,526.67,536.2,538.37,531.92,530.27
2235,1721091033.229995,535.27,531.36,529.66,528.79,531.65,537.94,532.93,531.8
2236,1721091063.231761,535.27,534.75,530.9,531.06,541.02,535.53,538.81,533.52
2237,1721091093.23373,544.17,538.9,534.06,530.96,540.38,543.08,543.81,534.29
2238,1721091123.235562,544.3,543.09,541.41,535.01,544.18,549.19,545.7,536.84
