run,timestamp,GPU 0,GPU 1,GPU 2,GPU 3,GPU 4,GPU 5,GPU 6,GPU 7
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755148059.0281258,497.155,487.823,525.989,534.025,584.246,570.331,568.403,495.772
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755148074.0278642,493.413,506.901,505.941,503.511,520.739,482.191,521.004,495.251
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755148254.0281756,469.954,489.106,495.874,483.005,526.839,519.499,556.766,565.597
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755148404.027668,465.955,475.652,522.677,483.727,505.554,490.697,501.72,475.487
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755148569.0278518,259.387,267.022,278.68,269.522,246.21,262.041,259.516,236.303
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755148614.028372,438.183,454.504,483.154,494.598,533.962,540.363,566.877,532.365
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755148659.0273085,482.164,470.438,505.909,478.063,522.367,475.006,492.509,523.837
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755148824.0275853,490.642,501.099,533.122,525.049,511.881,503.164,537.395,545.834
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755148839.0278692,459.416,471.479,510.985,519.897,540.611,539.513,572.058,532.171
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755149004.0280252,335.823,329.316,350.227,315.944,358.576,353.52,323.814,323.649
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755149064.0275984,472.198,491.948,524.451,544.524,579.968,572.203,478.101,492.93
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755149199.027835,530.301,508.347,541.775,526.009,530.764,537.674,551.517,529.007
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755149289.0283322,521.104,525.287,491.96,527.301,525.462,488.035,515.757,529.803
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755149304.027936,485.873,508.763,514.067,496.355,510.744,491.779,533.326,493.128
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755149349.0279448,468.769,466.151,487.275,461.675,496.895,472.458,519.941,497.684
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755149394.0278542,501.896,531.768,566.97,526.139,524.53,526.143,572.007,586.022
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755149574.0280452,473.904,476.118,515.505,525.85,562.427,502.341,476.77,502.457
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755149619.0281422,490.128,508.496,539.162,492.082,536.477,520.666,564.164,491.363
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755150159.0285468,481.468,486.944,521.954,456.469,505.147,479.075,483.515,479.801
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755150759.0277283,498.357,483.697,514.833,522.936,556.403,476.094,508.307,511.599
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755150819.0277007,496.816,516.298,519.01,533.003,546.25,527.464,547.484,502.35
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755150864.0276918,469.387,497.553,500.767,480.289,527.196,523.777,564.895,554.134
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755151014.027855,482.733,502.94,537.944,539.231,504.057,479.021,528.531,530.796
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755151239.0281916,492.093,497.438,497.563,512.787,567.376,572.062,522.839,510.357
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755151539.028049,466.819,499.848,528.694,539.858,575.828,585.126,492.026,485.164
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755151689.0276911,482.172,473.874,480.277,476.965,524.605,482.958,476.281,479.119
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755151734.0278206,491.051,522.511,558.967,558.231,581.651,501.144,532.944,546.589
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755151809.0282006,453.82,464.022,496.219,509.97,553.14,534.794,469.293,479.117
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755151824.0277922,462.299,479.521,462.891,478.001,515.385,514.278,542.539,520.576
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755151974.0285015,470.464,483.381,528.527,529.504,574.15,451.654,513.814,530.024
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755152154.0278509,475.768,457.721,510.321,513.391,576.222,559.972,592.548,455.569
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755152454.028776,474.148,461.82,509.57,517.144,562.402,521.119,512.126,475.833
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755152604.02792,477.551,510.212,561.128,487.461,485.567,484.568,480.212,466.905
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755152829.0276554,494.647,452.355,482.065,496.333,520.544,545.654,488.92,479.762
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755153639.0282533,496.519,518.773,555.059,534.184,525.177,536.2,547.266,499.995
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755154959.027828,447.087,443.608,482.546,485.28,521.317,506.08,543.084,509.938
